State,State Code,Year of Death,Year of Death Code,Mother's Bridged Race/Hispanic Origin,Mother's Bridged Race/Hispanic Origin Code,Deaths,Births,Death Rate
Alabama,1,2007,2007,Mexican,2148-5,23,3926,5.86
Alabama,1,2007,2007,Non-Hispanic White,6,327,38508,8.49
Alabama,1,2007,2007,Non-Hispanic Black,7,276,19734,13.99
Alabama,1,2008,2008,Mexican,2148-5,33,3700,8.92
Alabama,1,2008,2008,Central or South American,4,12,1350,8.89 (Unreliable)
Alabama,1,2008,2008,Non-Hispanic White,6,290,38169,7.6
Alabama,1,2008,2008,Non-Hispanic Black,7,265,19913,13.31
Alabama,1,2009,2009,Mexican,2148-5,18,3467,5.19 (Unreliable)
Alabama,1,2009,2009,Central or South American,4,12,1357,8.84 (Unreliable)
Alabama,1,2009,2009,Non-Hispanic White,6,239,36902,6.48
Alabama,1,2009,2009,Non-Hispanic Black,7,243,19230,12.64
Alabama,1,2010,2010,Mexican,2148-5,18,3184,5.65 (Unreliable)
Alabama,1,2010,2010,Central or South American,4,12,1374,8.73 (Unreliable)
Alabama,1,2010,2010,Non-Hispanic White,6,246,35819,6.87
Alabama,1,2010,2010,Non-Hispanic Black,7,241,18203,13.24
Alabama,1,2011,2011,Mexican,2148-5,14,2958,4.73 (Unreliable)
Alabama,1,2011,2011,Non-Hispanic White,6,230,35684,6.45
Alabama,1,2011,2011,Non-Hispanic Black,7,229,17987,12.73
Alabama,1,2012,2012,Mexican,2148-5,10,2549,3.92 (Unreliable)
Alabama,1,2012,2012,Non-Hispanic White,6,246,35162,7
Alabama,1,2012,2012,Non-Hispanic Black,7,253,18096,13.98
Alabama,1,2013,2013,Mexican,2148-5,13,2580,5.04 (Unreliable)
Alabama,1,2013,2013,Non-Hispanic White,6,257,35086,7.32
Alabama,1,2013,2013,Non-Hispanic Black,7,215,17906,12.01
Alabama,1,2014,2014,Mexican,2148-5,20,2585,7.74
Alabama,1,2014,2014,Non-Hispanic White,6,224,35929,6.23
Alabama,1,2014,2014,Non-Hispanic Black,7,253,18230,13.88
Alabama,1,2015,2015,Mexican,2148-5,18,2606,6.91 (Unreliable)
Alabama,1,2015,2015,Non-Hispanic White,6,206,35826,5.75
Alabama,1,2015,2015,Non-Hispanic Black,7,261,18261,14.29
Alabama,1,2016,2016,Mexican,2148-5,16,2680,5.97 (Unreliable)
Alabama,1,2016,2016,Non-Hispanic White,6,234,35319,6.63
Alabama,1,2016,2016,Non-Hispanic Black,7,261,17989,14.51
Alabama,1,2017,2017,Mexican,2148-5,13,2540,5.12 (Unreliable)
Alabama,1,2017,2017,Central or South American,4,13,1492,8.71 (Unreliable)
Alabama,1,2017,2017,Non-Hispanic White,6,194,34784,5.58
Alabama,1,2017,2017,Non-Hispanic Black,7,203,18354,11.06
Alabama,1,2017,2017,Non-Hispanic other races,8,11,1233,8.92 (Unreliable)
Alaska,2,2007,2007,Non-Hispanic White,6,29,6293,4.61
Alaska,2,2007,2007,Non-Hispanic other races,8,34,3487,9.75
Alaska,2,2008,2008,Non-Hispanic White,6,19,6505,2.92 (Unreliable)
Alaska,2,2008,2008,Non-Hispanic other races,8,44,3719,11.83
Alaska,2,2009,2009,Non-Hispanic White,6,29,6018,4.82
Alaska,2,2009,2009,Non-Hispanic other races,8,37,3804,9.73
Alaska,2,2010,2010,Non-Hispanic White,6,17,6264,2.71 (Unreliable)
Alaska,2,2010,2010,Non-Hispanic other races,8,17,3852,4.41 (Unreliable)
Alaska,2,2011,2011,Non-Hispanic White,6,16,6082,2.63 (Unreliable)
